关键词,场景,加载规则,加载Skill
接口设计,API设计,pagination,naming,qgy-back-api
分页查询,分页,pagination,qgy-back-api
深分页,分页,pagination,general,qgy-back-api
接口变更,通用,general,qgy-back-api
DTO设计,命名,naming,qgy-back-common
表设计,MySQL,mysql-table,qgy-back-mysql
索引设计,MySQL,mysql-index,qgy-back-mysql
SQL编写,SQL,mysql-sql,qgy-back-mysql
MyBatis,ORM,orm-mapping,qgy-back-mysql
ES查询,ES,elasticsearch,qgy-back-storage
ES导出,ES,pagination,elasticsearch,qgy-back-storage
MQ消费,MQ,mq,qgy-back-storage
输入清洗,数据处理,input-cleaning,qgy-back-data
数据清洗,数据处理,data-cleaning,qgy-back-data
数据导入,导入导出,import-export,qgy-back-data
数据导出,导入导出,import-export,pagination,qgy-back-export
日志规范,日志,-,qgy-back-export
安全审计,安全,security,qgy-back-common
变量重构,重构,general,naming,qgy-back-common
批量操作,通用,general,qgy-back-common
开发环境,通用,general,qgy-back-common
后端开发,完整规范,所有规则,qgy-back-rules
